Tr C(WL),Tr C(LEVEL)[LINEAR]
1391,1.78E-04
1391.2,1.76E-04
1391.4,1.76E-04
1391.6,1.73E-04
1391.8,1.68E-04
1392,1.59E-04
1392.2,1.52E-04
1392.4,1.50E-04
1392.6,1.49E-04
1392.8,1.50E-04
1393,1.52E-04
1393.2,1.59E-04
1393.4,1.62E-04
1393.6,1.62E-04
1393.8,1.61E-04
1394,1.60E-04
1394.2,1.57E-04
1394.4,1.53E-04
1394.6,1.47E-04
1394.8,1.45E-04
1395,1.40E-04
1395.2,1.37E-04
1395.4,1.36E-04
1395.6,1.38E-04
1395.8,1.37E-04
1396,1.31E-04
1396.2,1.31E-04
1396.4,1.31E-04
1396.6,1.31E-04
1396.8,1.30E-04
1397,1.34E-04
1397.2,1.39E-04
1397.4,1.41E-04
1397.6,1.41E-04
1397.8,1.40E-04
1398,1.40E-04
1398.2,1.39E-04
1398.4,1.38E-04
1398.6,1.36E-04
1398.8,1.35E-04
1399,1.30E-04
1399.2,1.26E-04
1399.4,1.24E-04
1399.6,1.21E-04
1399.8,1.19E-04
1400,1.16E-04
1400.2,1.14E-04
1400.4,1.13E-04
1400.6,1.12E-04
1400.8,1.13E-04
1401,1.12E-04
1401.2,1.12E-04
1401.4,1.17E-04
1401.6,1.18E-04
1401.8,1.17E-04
1402,1.18E-04
1402.2,1.19E-04
1402.4,1.19E-04
1402.6,1.18E-04
1402.8,1.17E-04
1403,1.16E-04
1403.2,1.15E-04
1403.4,1.14E-04
1403.6,1.14E-04
1403.8,1.13E-04
1404,1.12E-04
1404.2,1.11E-04
1404.4,1.06E-04
1404.6,1.00E-04
1404.8,9.90E-05
1405,9.81E-05
1405.2,9.78E-05
1405.4,9.73E-05
1405.6,1.02E-04
1405.8,1.05E-04
1406,1.05E-04
1406.2,1.04E-04
1406.4,1.02E-04
1406.6,1.01E-04
1406.8,9.82E-05
1407,9.66E-05
1407.2,9.57E-05
1407.4,9.66E-05
1407.6,9.75E-05
1407.8,9.78E-05
1408,9.93E-05
1408.2,9.99E-05
1408.4,9.87E-05
1408.6,9.65E-05
1408.8,9.36E-05
1409,8.99E-05
1409.2,8.80E-05
1409.4,8.66E-05
1409.6,8.66E-05
1409.8,8.67E-05
1410,8.84E-05
1410.2,9.08E-05
1410.4,9.17E-05
1410.6,9.20E-05
1410.8,9.13E-05
1411,9.05E-05
1411.2,8.98E-05
1411.4,8.87E-05
1411.6,8.74E-05
1411.8,8.55E-05
1412,8.41E-05
1412.2,8.31E-05
1412.4,8.18E-05
1412.6,8.12E-05
1412.8,8.03E-05
1413,8.09E-05
1413.2,8.05E-05
1413.4,8.04E-05
1413.6,7.89E-05
1413.8,7.71E-05
1414,7.60E-05
1414.2,7.44E-05
1414.4,7.31E-05
1414.6,7.17E-05
1414.8,7.19E-05
1415,7.15E-05
1415.2,7.02E-05
1415.4,7.01E-05
1415.6,6.95E-05
1415.8,6.87E-05
1416,6.81E-05
1416.2,6.78E-05
1416.4,6.74E-05
1416.6,6.77E-05
1416.8,6.75E-05
1417,6.69E-05
1417.2,6.63E-05
1417.4,6.59E-05
1417.6,6.49E-05
1417.8,6.38E-05
1418,6.23E-05
1418.2,6.10E-05
1418.4,5.91E-05
1418.6,5.71E-05
1418.8,5.54E-05
1419,5.38E-05
1419.2,5.27E-05
1419.4,5.22E-05
1419.6,5.22E-05
1419.8,5.24E-05
1420,5.26E-05
1420.2,5.26E-05
1420.4,5.25E-05
1420.6,5.16E-05
1420.8,5.11E-05
1421,5.00E-05
1421.2,4.85E-05
1421.4,4.71E-05
1421.6,4.55E-05
1421.8,4.39E-05
1422,4.25E-05
1422.2,4.10E-05
1422.4,3.99E-05
1422.6,3.90E-05
1422.8,3.86E-05
1423,3.84E-05
1423.2,3.82E-05
1423.4,3.80E-05
1423.6,3.76E-05
1423.8,3.76E-05
1424,3.71E-05
1424.2,3.65E-05
1424.4,3.55E-05
1424.6,3.46E-05
1424.8,3.33E-05
1425,3.17E-05
1425.2,3.01E-05
1425.4,2.88E-05
1425.6,2.77E-05
1425.8,2.69E-05
1426,2.66E-05
1426.2,2.64E-05
1426.4,2.63E-05
1426.6,2.65E-05
1426.8,2.64E-05
1427,2.60E-05
1427.2,2.57E-05
1427.4,2.52E-05
1427.6,2.45E-05
1427.8,2.32E-05
1428,2.22E-05
1428.2,2.11E-05
1428.4,1.99E-05
1428.6,1.89E-05
1428.8,1.80E-05
1429,1.75E-05
1429.2,1.72E-05
1429.4,1.68E-05
1429.6,1.67E-05
1429.8,1.68E-05
1430,1.69E-05
1430.2,1.67E-05
1430.4,1.66E-05
1430.6,1.62E-05
1430.8,1.58E-05
1431,1.52E-05
1431.2,1.45E-05
1431.4,1.38E-05
1431.6,1.30E-05
1431.8,1.24E-05
1432,1.19E-05
1432.2,1.17E-05
1432.4,1.15E-05
1432.6,1.14E-05
1432.8,1.15E-05
1433,1.16E-05
1433.2,1.18E-05
1433.4,1.18E-05
1433.6,1.17E-05
1433.8,1.16E-05
1434,1.12E-05
1434.2,1.10E-05
1434.4,1.07E-05
1434.6,1.04E-05
1434.8,1.01E-05
1435,9.99E-06
1435.2,9.99E-06
1435.4,9.95E-06
1435.6,1.00E-05
1435.8,1.02E-05
1436,1.04E-05
1436.2,1.06E-05
1436.4,1.07E-05
1436.6,1.06E-05
1436.8,1.06E-05
1437,1.06E-05
1437.2,1.02E-05
1437.4,9.74E-06
1437.6,9.57E-06
1437.8,9.33E-06
1438,9.25E-06
1438.2,9.24E-06
1438.4,9.36E-06
1438.6,9.63E-06
1438.8,1.01E-05
